EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
2,FTT,SYN10,0.001,1,OOB,f10,1,0.9629,0.9284570742445468
0,FTT,SYN10,0.002,1,OOB,f10,1,0.9616,0.9759855913548128
1,FTT,SYN10,0.002,1,OOB,f10,1,0.96155,0.9620772463478088
2,FTT,SYN10,0.002,1,OOB,f10,1,0.9604,0.9832899739843908
1,FTT,CovType,0.0005,1,OOB,Elevation,0,0.9545020352314484,0.9982065369540872
0,FTT,SYN10,0.003,1,OOB,f10,1,0.9621,0.9965979587752652
2,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.959476089477539,0.7210596466064453
0,SAINT,SYN10,0.001,1,OOB,f2,2,0.9637000274658204,0.1035621356964111
1,FTT,SYN10,0.003,1,OOB,f10,1,0.96255,0.9962977786672004
2,FTT,SYN10,0.003,1,OOB,f10,1,0.96085,0.9904942965779469
1,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6643714074665263,0.9998811322997504
0,FTT,SYN10,0.004,1,OOB,f10,1,0.962,0.9956974184510706
1,FTT,SYN10,0.004,1,OOB,f10,1,0.96135,0.9953972383430058
1,SAINT,SYN10,0.001,1,OOB,f2,2,0.9647000122070312,0.2546528053283691
2,FTT,SYN10,0.004,1,OOB,f10,1,0.96185,0.9983990394236542
0,FTT,SYN10,0.005,1,OOB,f10,1,0.96135,0.9938963378026816
1,FTT,SYN10,0.005,1,OOB,f10,1,0.9617,0.9969981989193516
2,FTT,SYN10,0.005,1,OOB,f10,1,0.9633,0.9935961576946168
2,SAINT,SYN10,0.001,1,OOB,f2,2,0.9646499633789064,0.425955581665039
0,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6628516119172349,0.9871794871794872
0,SAINT,SYN10,0.005,1,OOB,f2,2,0.963249969482422,0.9606764221191406
0,TabNet,SYN10,0.0001,1,OOB,f1,8,0.96475,0.0402241344806884
1,SAINT,SYN10,0.005,1,OOB,f2,2,0.9636499786376952,0.8537122344970703
1,TabNet,SYN10,0.0001,1,OOB,f1,8,0.96285,0.0488292975785471
2,SAINT,SYN10,0.005,1,OOB,f2,2,0.9647000122070312,0.9286572265625
0,SAINT,SYN10,0.01,1,OOB,f2,2,0.9644000244140624,0.9848908996582032
2,TabNet,SYN10,0.0001,1,OOB,f1,8,0.9632,0.2225335201120672
2,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6668506270217951,0.9998641511997148
1,SAINT,SYN10,0.01,1,OOB,f2,2,0.9633999633789062,0.9460676574707032
0,TabNet,SYN10,0.0005,1,OOB,f1,8,0.96325,0.0498298979387632
2,SAINT,SYN10,0.01,1,OOB,f2,2,0.9644000244140624,0.9664798736572264
0,SAINT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6680307769775391,0.9540669250488282
1,TabNet,SYN10,0.0005,1,OOB,f1,8,0.9629,0.5202121272763658
0,SAINT,SYN10,0.0001,1,OOB,f3,9,0.9643499755859376,0.0430258178710937
1,SAINT,SYN10,0.0001,1,OOB,f3,9,0.964749984741211,0.0415249156951904
2,TabNet,SYN10,0.0005,1,OOB,f1,8,0.9615,0.0517310386231739
2,SAINT,SYN10,0.0001,1,OOB,f3,9,0.9619999694824218,0.03872323513031
0,TabNet,SYN10,0.001,1,OOB,f1,8,0.96325,0.9858915349209526
0,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6657044125013797,0.073289183222958
0,SAINT,SYN10,0.0005,1,OOB,f3,9,0.9631499481201172,0.0410246133804321
1,TabNet,SYN10,0.001,1,OOB,f1,8,0.96225,0.1994196517910746
1,SAINT,SYN10,0.0005,1,OOB,f3,9,0.9640000152587892,0.0468280982971191
2,SAINT,SYN10,0.0005,1,OOB,f3,9,0.9644499969482422,0.0477286386489868
2,TabNet,SYN10,0.001,1,OOB,f1,8,0.96475,0.7951771062637583
0,SAINT,CovType,0.0005,1,OOB,Aspect,8,0.9585897064208984,0.778984146118164
1,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6597101350835038,0.9976566081950788
0,SAINT,SYN10,0.001,1,OOB,f3,9,0.9629499816894532,0.0528317022323608
0,TabNet,SYN10,0.005,1,OOB,f1,8,0.96195,0.978787272363418
1,SAINT,SYN10,0.001,1,OOB,f3,9,0.963249969482422,0.0544326591491699
2,SAINT,SYN10,0.001,1,OOB,f3,9,0.9646499633789064,0.0621372842788696
1,TabNet,SYN10,0.005,1,OOB,f1,8,0.96375,0.9908945367220332
1,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6637091501880641,0.0547470665149688
0,SAINT,SYN10,0.005,1,OOB,f3,9,0.963249969482422,0.9991996002197264
2,TabNet,SYN10,0.005,1,OOB,f1,8,0.96465,0.9990994596758056
1,SAINT,SYN10,0.005,1,OOB,f3,9,0.9623499298095703,0.9946968841552736
0,TabNet,SYN10,0.01,1,OOB,f1,8,0.96545,0.996397838703222
2,SAINT,SYN10,0.005,1,OOB,f3,9,0.963949966430664,0.9951971435546876
1,TabNet,CovType,0.0005,1,OOB,Elevation,0,0.9441408569486158,0.9813304871220604
0,SAINT,SYN10,0.01,1,OOB,f3,9,0.9640000152587892,0.9969982147216796
1,SAINT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6683704376220703,0.903088836669922
1,TabNet,SYN10,0.01,1,OOB,f1,8,0.96165,0.9938963378026816
1,SAINT,SYN10,0.01,1,OOB,f3,9,0.9640000152587892,0.999499740600586
2,FTT,CovType,0.0005,1,OOB,Elevation,0,0.9544676127122363,0.9986352183650616
2,TabNet,SYN10,0.01,1,OOB,f1,8,0.9627,0.9991995197118272
2,SAINT,SYN10,0.01,1,OOB,f3,9,0.9619999694824218,0.9900940704345704
2,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6676911843367663,0.0880470036848987
0,SAINT,SYN10,0.0001,1,OOB,f4,3,0.964749984741211,0.321392822265625
0,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96225,0.2692615569341605
1,SAINT,SYN10,0.0001,1,OOB,f4,3,0.9638499450683594,0.2403442192077636
1,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96275,0.1397838703221933
2,SAINT,SYN10,0.0001,1,OOB,f4,3,0.964499969482422,0.2862717819213867
2,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6629365166965249,0.9933773709860924
2,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96325,0.9582749649789872
0,SAINT,SYN10,0.0005,1,OOB,f4,3,0.9640499877929688,0.5108065032958984
1,SAINT,SYN10,0.0005,1,OOB,f4,3,0.9645999908447266,0.6535921478271485
0,TabNet,SYN10,0.0005,1,OOB,f2,2,0.96525,0.8762257354412648
0,FTT,LOAN,0.0005,1,OOB,acc_open_past_24mths,10,0.6670543984920911,0.9999490575649516
2,SAINT,SYN10,0.0005,1,OOB,f4,3,0.962300033569336,0.376325798034668
1,TabNet,SYN10,0.0005,1,OOB,f2,2,0.96305,0.8305983590154092
1,SAINT,CovType,0.0005,1,OOB,Aspect,8,0.9578324127197264,0.6925917053222657
0,SAINT,SYN10,0.001,1,OOB,f4,3,0.9625499725341796,0.7645587158203125
1,SAINT,SYN10,0.001,1,OOB,f4,3,0.9631999969482422,0.7990795135498047
2,TabNet,SYN10,0.0005,1,OOB,f2,2,0.9635,0.6927156293776265
2,SAINT,SYN10,0.001,1,OOB,f4,3,0.9631499481201172,0.7004202270507812
0,TabNet,SYN10,0.001,1,OOB,f2,2,0.96295,0.963778266960176
0,SAINT,SYN10,0.005,1,OOB,f4,3,0.9629000091552734,0.990994644165039
1,TabNet,SYN10,0.001,1,OOB,f2,2,0.9643,0.9835901540924554
1,SAINT,SYN10,0.005,1,OOB,f4,3,0.963949966430664,0.9990995025634766
